Date,Close,High,Low,Open,Volume,sector
,VOO,VOO,VOO,VOO,VOO,ETF
2017-06-27,194.52694702148438,196.15926784712747,194.50062034615016,195.8872166080177,3476700,ETF
2017-06-28,196.24700927734375,196.44008048091715,195.26411107077644,195.46595336869999,2875800,ETF
2017-06-29,194.55328369140625,196.51030920736383,193.43873861139213,196.41377359585104,4613000,ETF
2017-06-30,194.87799072265625,195.62394894735365,194.7024750788996,195.3255710138688,2982300,ETF
2017-07-03,195.30799865722656,196.16803461145557,195.23778972755707,195.78189219376546,1762500,ETF
2017-07-05,195.6502685546875,195.85211086816497,194.82533032875594,195.56250404048785,2043800,ETF
2017-07-06,193.8950653076172,195.0447080131916,193.70199410917135,194.9657279931865,2540700,ETF
2017-07-07,195.1237335205078,195.28170698832824,194.28125299542063,194.4041152966203,2148000,ETF
2017-07-10,195.32559204101562,195.69417894987924,194.86045611805912,195.0008740045748,1800100,ETF
2017-07-11,195.17636108398438,195.4922945868834,194.14080945230612,195.19391666497452,1638700,ETF
2017-07-12,196.64195251464844,196.8262392482058,196.1153922082291,196.1153922082291,1492100,ETF
2017-07-13,196.97543334960938,197.11585122044937,196.48398419265453,196.7209376758239,1485500,ETF
2017-07-14,197.87060546875,198.24796347932048,196.92280480763694,197.03689601594283,1642400,ETF
2017-07-17,197.8968963623047,198.21282985887723,197.75647849916479,197.85301410620042,1176200,ETF
2017-07-18,198.04612731933594,198.0636829036975,197.22118893717732,197.5722336694721,3146500,ETF
2017-07-19,199.0904541015625,199.0904541015625,198.300626925958,198.31816911849202,1255300,ETF
2017-07-20,199.15185546875,199.43269120857573,198.68673299177559,199.32738450163365,1698100,ETF
2017-07-21,199.0114288330078,199.02019992728142,198.43221522734245,198.65161310303537,2461700,ETF
2017-07-24,198.94125366210938,199.06411595770527,198.52878451454046,198.92369807959972,1278200,ETF
2017-07-25,199.4151153564453,199.73104883614192,199.23082863802946,199.66083990832226,1349500,ETF
2017-07-26,199.4765625,199.73105815811348,199.19572677561402,199.71351596857764,1574100,ETF
2017-07-27,199.23960876464844,199.89780242793938,198.02852813907808,199.8714757526865,1834500,ETF
2017-07-28,199.0114288330078,199.1430622020301,198.4146596478116,198.80957314586212,2364100,ETF
2017-07-31,198.89732360839844,199.47653717316555,198.72180799843397,199.41509934463753,3020000,ETF
2017-08-01,199.3449249267578,199.4941272815846,198.93245580690723,199.47657170025468,1674500,ETF
2017-08-02,199.45899963378906,199.581861910974,198.59017920806295,199.48532630811556,1889300,ETF
2017-08-03,199.1079559326172,199.37122265942105,198.81834914214988,199.37122265942105,1266400,ETF
2017-08-04,199.4414825439453,199.73108940841166,199.0728956412572,199.52924706929383,1039800,ETF
2017-08-07,199.7661895751953,199.79251625315294,199.3888182061597,199.50290940463327,848500,ETF
2017-08-08,199.37127685546875,200.63501105158647,198.97636326692864,199.51169474192332,1064700,ETF
2017-08-09,199.25718688964844,199.3449380200917,198.33571297858614,198.64287541260222,1536600,ETF
2017-08-10,196.5190887451172,198.64287228963718,196.44889319826052,198.54633667397718,3043300,ETF
2017-08-11,196.78240966796875,197.30019901791707,196.46647607774116,196.6946585207318,1584300,ETF
2017-08-14,198.71304321289062,198.92367000031774,197.9495428688164,197.9495428688164,2201900,ETF
2017-08-15,198.73062133789062,199.0992082144643,198.42347230290528,199.07288153692232,1309700,ETF
2017-08-16,199.0465545654297,199.55555931546613,198.66041210740306,199.16941685743947,1531400,ETF
2017-08-17,195.9486846923828,198.77453119611877,195.9486846923828,198.5024798964216,3396200,ETF
2017-08-18,195.5887908935547,196.81742688726868,195.2202041127351,195.7818620726957,2691100,ETF
2017-08-21,195.8257293701172,196.0188005345178,194.93058246162184,195.57123377576062,1281300,ETF
2017-08-22,197.80914306640625,197.98467210077632,196.30846891583275,196.3347955927912,1455700,ETF
2017-08-23,197.13343811035156,197.5107961333069,196.8087200585899,196.98424912050965,1462900,ETF
2017-08-24,196.67703247070312,197.60727732226098,196.47519017428561,197.4931861416415,1345100,ETF
2017-08-25,197.1070556640625,197.96709158200258,196.9929644842906,197.41420465354932,1220800,ETF
2017-08-28,197.1772918701172,197.6424277793645,196.74728051794358,197.5985455172484,801000,ETF
2017-08-29,197.32647705078125,197.5985283048225,195.83456061470892,195.92232513129616,1397400,ETF
2017-08-30,198.30935668945312,198.54631014914193,197.18604061601675,197.33522956738116,1377800,ETF
2017-08-31,199.4765625,199.72228706334556,198.81836883582775,198.88857776692427,2202700,ETF
2017-09-01,199.81884765625,200.1874345473586,199.66087419378286,199.88027210927507,1393700,ETF
2017-09-05,198.34446716308594,199.5204500514345,197.44054891157654,199.30105215755387,2222300,ETF
2017-09-06,199.0377655029297,199.3361434150212,198.5024341237141,199.00265434210465,1523300,ETF
2017-09-07,198.9938507080078,199.32733972639238,198.6340350188015,199.32733972639238,1620300,ETF
2017-09-08,198.68673706054688,199.19574180616576,198.5551036741736,198.73061931966643,1896900,ETF
2017-09-11,200.85438537597656,200.9772476644406,199.9504670984944,199.95925158473227,2007200,ETF
2017-09-12,201.59158325195312,201.60035434767377,201.08257848945277,201.249323045046,1535000,ETF
2017-09-13,201.71444702148438,201.71444702148438,201.21421335104802,201.2931933860687,1155800,ETF
2017-09-14,201.6442108154297,201.79339976951266,201.24051281715853,201.38093067664278,1857300,ETF
2017-09-15,201.92498779296875,201.96009894544625,201.39844102463647,201.5125187927355,1419700,ETF
2017-09-18,202.27609252929688,202.6358949078361,201.95137453170867,202.24976585259853,1325200,ETF
2017-09-19,202.52183532714844,202.5920442683226,202.23222846642486,202.53937751920225,1302400,ETF
2017-09-20,202.63296508789062,202.68588813826187,201.671493780612,202.59767408125956,1850500,ETF
2017-09-21,202.05960083007812,202.50946018827403,201.8831727276567,202.47416918395993,1899900,ETF
2017-09-22,202.0331573486328,202.2272175238952,201.7508965679817,201.77735809555597,1599200,ETF
2017-09-25,201.7332000732422,202.17424336743798,200.9922505692908,201.83905961635895,1523300,ETF
2017-09-26,201.8037872314453,202.28012157047863,201.58326556400476,202.07723194553972,2335000,ETF
2017-09-27,202.58883666992188,202.93284992058918,201.64501096560852,202.46534507890217,2103600,ETF
2017-09-28,202.8270263671875,202.88876543977022,202.25366191265266,202.3154144448108,1084700,ETF
2017-09-29,203.55032348632812,203.61207601636087,202.65060473685804,202.80055786176973,1726200,ETF
2017-10-02,204.40597534179688,204.40597534179688,203.68267114727317,203.76205573089587,1960600,ETF
2017-10-03,204.82049560546875,204.86460262518204,204.35299080756783,204.55586694676174,1316400,ETF
2017-10-04,205.102783203125,205.33212087725943,204.6264488943265,204.74994048187173,1006700,ETF
2017-10-05,206.32003784179688,206.34649936142597,205.31445971717332,205.40267375565202,1471800,ETF
2017-10-06,206.12600708007812,206.14365258220133,205.68496374401883,205.93196039502052,1101500,ETF
2017-10-09,205.7643280029297,206.34649488170382,205.50851537263858,206.33767886187638,768300,ETF
